FK_ID_FORMULARIO	ID_VIVIENDA	CIUDAD	P70	P4000	P4020	P4031S1	P4031S1A1	P4031S2	P4031S3	P4031S4	P4031S4A1	P4031S5	CLASE	DOMINIO	FEX_C
318	1	NEIVA	1	1	2	1	2	1	1	1	3	1	1	1	107.75530713
320	1	NEIVA	1	1	2	1	2	1	1	1	3	1	1	1	104.58302333
321	1	NEIVA	1	1	1	1	2	1	1	1	3	1	1	1	80.82169806
326	1	NEIVA	1	1	1	1	2	1	1	1	3	1	1	1	85.354753807
327	1	NEIVA	1	1	4	1	2	1	1	1	2	1	1	1	127.42673702
329	1	NEIVA	1	1	2	1	1	1	1	1	3	1	1	1	92.589692266
330	1	NEIVA	1	1	4	1	2	1	1	1	3	1	1	1	107.75530713
331	1	NEIVA	1	1	2	1	2	1	1	1	3	1	1	1	94.197728414
332	1	NEIVA	1	1	4	1	2	1	1	1	3	1	1	1	105.46922864
334	1	NEIVA	1	2	2	1	2	1	1	1	3	1	1	1	91.225514102
335	1	NEIVA	1	2	1	1	3	1	1	1	3	1	1	1	105.41094149
336	1	NEIVA	1	2	2	1	3	1	1	1	3	1	1	1	102.49701432
337	1	NEIVA	1	2	1	1	4	1	1	1	3	1	1	1	77.62898694
338	1	NEIVA	1	1	1	1	2	1	1	1	3	1	1	1	105.46922864
339	1	NEIVA	1	1	4	1	2	1	1	1	3	1	1	1	106.79105214
340	1	NEIVA	1	2	2	1	3	1	1	1	3	1	1	1	102.49701432
342	1	NEIVA	1	3	4	1	2	1	1	1	2	1	1	1	105.41094149
343	1	NEIVA	1	2	4	1	2	1	1	1	3	1	1	1	95.218838671
345	1	NEIVA	1	1	2	1	2	1	1	1	3	1	1	1	93.654039717
346	1	NEIVA	1	3	2	1	2	2	1	1	3	1	1	1	130.34066419
347	1	NEIVA	1	2	2	1	3	1	1	1	3	1	1	1	99.524800012
348	1	NEIVA	1	1	2	1	2	1	1	1	3	1	1	1	80.327512923
349	1	NEIVA	1	2	2	1	2	1	1	1	3	1	1	1	113.72615988
350	1	NEIVA	1	2	2	1	4	1	1	1	3	1	1	1	85.339372623
351	1	NEIVA	1	1	2	1	1	1	1	1	3	1	1	1	102.15394642
352	1	NEIVA	1	2	2	1	2	1	1	1	3	1	1	1	92.589692266
353	1	NEIVA	1	1	4	1	1	1	1	1	3	1	1	1	91.225514102
354	1	NEIVA	1	1	1	1	4	1	1	1	3	1	1	1	84.564094685
355	1	NEIVA	1	1	2	1	1	1	1	1	3	1	1	1	111.96540001
356	1	NEIVA	1	2	2	1	1	1	1	1	2	1	1	1	84.937593728
357	1	NEIVA	1	2	2	1	2	1	1	1	3	1	1	1	84.290406356
358	1	NEIVA	1	1	2	1	2	1	1	1	3	1	1	1	93.654039717
359	1	NEIVA	1	2	2	1	2	1	1	1	3	1	1	1	84.290406356
360	1	NEIVA	1	2	2	1	3	1	1	1	7	1	1	1	107.82408592
361	1	NEIVA	1	2	2	1	2	1	1	1	3	1	1	1	102.49701432
362	1	RIOHACHA	1	1	2	1	2	1	1	1	3	1	1	1	38.999945862
364	1	RIOHACHA	1	2	2	1	2	1	1	1	3	1	1	1	77.832513872
365	1	RIOHACHA	1	2	2	1	2	1	1	1	3	1	1	1	91.007768157
366	1	RIOHACHA	1	2	2	1	1	1	1	1	2	1	1	1	81.647089102
367	1	RIOHACHA	1	1	1	1	3	1	1	1	2	1	1	1	56.569233795
368	1	RIOHACHA	1	1	2	1	1	1	1	1	2	1	1	1	80.125345764
370	1	RIOHACHA	1	2	4	1	2	1	1	1	3	1	1	1	102.69732742
371	1	RIOHACHA	1	2	2	1	2	1	1	1	3	1	1	1	67.020175782
372	1	RIOHACHA	1	2	2	1	2	1	1	1	3	1	1	1	88.692532418
373	1	RIOHACHA	1	1	2	1	2	1	1	1	3	1	1	1	47.239270194
374	1	RIOHACHA	1	1	2	1	1	1	1	1	2	1	1	1	66.859033172
375	1	VILLAVICENCIO	1	2	4	1	2	2	1	1	3	1	1	1	231.62079839
376	1	VILLAVICENCIO	1	1	2	1	3	1	1	1	3	1	1	1	236.75274301
377	1	VILLAVICENCIO	1	1	4	1	2	1	1	1	3	1	1	1	306.70382322
378	1	VILLAVICENCIO	1	1	4	1	1	1	1	1	3	2	1	1	274.68099442
379	1	VILLAVICENCIO	1	1	2	1	2	1	1	1	3	1	1	1	196.82488081
380	1	VILLAVICENCIO	1	2	2	1	2	1	1	1	3	1	1	1	139.1673219
383	1	VILLAVICENCIO	1	1	2	1	3	1	1	1	3	1	1	1	152.82373589
384	1	VILLAVICENCIO	1	2	2	1	3	2	1	1	3	1	1	1	245.3079234
385	1	VILLAVICENCIO	1	1	2	1	2	1	1	1	2	1	1	1	242.85265519
